INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,SLRS_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_ZONE_NAME,SCHEDULE,XML_DATA_ITEM,POS,MW,GROUP
2011-01-01T08:00:00-00:00,2011-01-01T09:00:00-00:00,ALL,2011-01-01,1,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22001,08",1
2011-01-01T09:00:00-00:00,2011-01-01T10:00:00-00:00,ALL,2011-01-01,2,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20999,71",1
2011-01-01T10:00:00-00:00,2011-01-01T11:00:00-00:00,ALL,2011-01-01,3,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20249,36",1
2011-01-01T11:00:00-00:00,2011-01-01T12:00:00-00:00,ALL,2011-01-01,4,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"19860,86",1
2011-01-01T12:00:00-00:00,2011-01-01T13:00:00-00:00,ALL,2011-01-01,5,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"19915,2",1
2011-01-01T13:00:00-00:00,2011-01-01T14:00:00-00:00,ALL,2011-01-01,6,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20568,92",1
2011-01-01T14:00:00-00:00,2011-01-01T15:00:00-00:00,ALL,2011-01-01,7,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21434,73",1
2011-01-01T15:00:00-00:00,2011-01-01T16:00:00-00:00,ALL,2011-01-01,8,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21845,15",1
2011-01-01T16:00:00-00:00,2011-01-01T17:00:00-00:00,ALL,2011-01-01,9,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22624,96",1
2011-01-01T17:00:00-00:00,2011-01-01T18:00:00-00:00,ALL,2011-01-01,10,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"23066,43",1
2011-01-01T18:00:00-00:00,2011-01-01T19:00:00-00:00,ALL,2011-01-01,11,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"23546,27",1
2011-01-01T19:00:00-00:00,2011-01-01T20:00:00-00:00,ALL,2011-01-01,12,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"23467,61",1
2011-01-01T20:00:00-00:00,2011-01-01T21:00:00-00:00,ALL,2011-01-01,13,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"23154,08",1
2011-01-01T21:00:00-00:00,2011-01-01T22:00:00-00:00,ALL,2011-01-01,14,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"23176,43",1
2011-01-01T22:00:00-00:00,2011-01-01T23:00:00-00:00,ALL,2011-01-01,15,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22840,07",1
2011-01-01T23:00:00-00:00,2011-01-02T00:00:00-00:00,ALL,2011-01-01,16,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"23056,66",1
2011-01-02T00:00:00-00:00,2011-01-02T01:00:00-00:00,ALL,2011-01-01,17,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"24713,87",1
2011-01-02T01:00:00-00:00,2011-01-02T02:00:00-00:00,ALL,2011-01-01,18,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27417,76",1
2011-01-02T02:00:00-00:00,2011-01-02T03:00:00-00:00,ALL,2011-01-01,19,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"28039,28",1
2011-01-02T03:00:00-00:00,2011-01-02T04:00:00-00:00,ALL,2011-01-01,20,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27722,63",1
2011-01-02T04:00:00-00:00,2011-01-02T05:00:00-00:00,ALL,2011-01-01,21,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26820,83",1
2011-01-02T05:00:00-00:00,2011-01-02T06:00:00-00:00,ALL,2011-01-01,22,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"25554,39",1
2011-01-02T06:00:00-00:00,2011-01-02T07:00:00-00:00,ALL,2011-01-01,23,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"24043,37",1
2011-01-02T07:00:00-00:00,2011-01-02T08:00:00-00:00,ALL,2011-01-01,24,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22293,03",1
2011-01-02T08:00:00-00:00,2011-01-02T09:00:00-00:00,ALL,2011-01-02,1,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21263,14",5
2011-01-02T09:00:00-00:00,2011-01-02T10:00:00-00:00,ALL,2011-01-02,2,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20363,76",5
2011-01-02T10:00:00-00:00,2011-01-02T11:00:00-00:00,ALL,2011-01-02,3,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"19550,42",5
2011-01-02T11:00:00-00:00,2011-01-02T12:00:00-00:00,ALL,2011-01-02,4,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"19269,03",5
2011-01-02T12:00:00-00:00,2011-01-02T13:00:00-00:00,ALL,2011-01-02,5,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"19409,53",5
2011-01-02T13:00:00-00:00,2011-01-02T14:00:00-00:00,ALL,2011-01-02,6,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,20044,5
2011-01-02T14:00:00-00:00,2011-01-02T15:00:00-00:00,ALL,2011-01-02,7,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20255,44",5
2011-01-02T15:00:00-00:00,2011-01-02T16:00:00-00:00,ALL,2011-01-02,8,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20675,15",5
2011-01-02T16:00:00-00:00,2011-01-02T17:00:00-00:00,ALL,2011-01-02,9,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21982,9",5
2011-01-02T17:00:00-00:00,2011-01-02T18:00:00-00:00,ALL,2011-01-02,10,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22682,93",5
2011-01-02T18:00:00-00:00,2011-01-02T19:00:00-00:00,ALL,2011-01-02,11,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"23062,28",5
2011-01-02T19:00:00-00:00,2011-01-02T20:00:00-00:00,ALL,2011-01-02,12,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"23001,55",5
2011-01-02T20:00:00-00:00,2011-01-02T21:00:00-00:00,ALL,2011-01-02,13,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22977,17",5
2011-01-02T21:00:00-00:00,2011-01-02T22:00:00-00:00,ALL,2011-01-02,14,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22976,44",5
2011-01-02T22:00:00-00:00,2011-01-02T23:00:00-00:00,ALL,2011-01-02,15,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22946,65",5
2011-01-02T23:00:00-00:00,2011-01-03T00:00:00-00:00,ALL,2011-01-02,16,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"23353,26",5
2011-01-03T00:00:00-00:00,2011-01-03T01:00:00-00:00,ALL,2011-01-02,17,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"25019,86",5
2011-01-03T01:00:00-00:00,2011-01-03T02:00:00-00:00,ALL,2011-01-02,18,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27829,69",5
2011-01-03T02:00:00-00:00,2011-01-03T03:00:00-00:00,ALL,2011-01-02,19,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27950,25",5
2011-01-03T03:00:00-00:00,2011-01-03T04:00:00-00:00,ALL,2011-01-02,20,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27707,97",5
2011-01-03T04:00:00-00:00,2011-01-03T05:00:00-00:00,ALL,2011-01-02,21,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27133,73",5
2011-01-03T05:00:00-00:00,2011-01-03T06:00:00-00:00,ALL,2011-01-02,22,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"25868,51",5
2011-01-03T06:00:00-00:00,2011-01-03T07:00:00-00:00,ALL,2011-01-02,23,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"24181,79",5
2011-01-03T07:00:00-00:00,2011-01-03T08:00:00-00:00,ALL,2011-01-02,24,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22112,49",5
2011-01-03T08:00:00-00:00,2011-01-03T09:00:00-00:00,ALL,2011-01-03,1,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20358,4",9
2011-01-03T09:00:00-00:00,2011-01-03T10:00:00-00:00,ALL,2011-01-03,2,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"19764,24",9
2011-01-03T10:00:00-00:00,2011-01-03T11:00:00-00:00,ALL,2011-01-03,3,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"19519,51",9
2011-01-03T11:00:00-00:00,2011-01-03T12:00:00-00:00,ALL,2011-01-03,4,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"19456,57",9
2011-01-03T12:00:00-00:00,2011-01-03T13:00:00-00:00,ALL,2011-01-03,5,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20157,09",9
2011-01-03T13:00:00-00:00,2011-01-03T14:00:00-00:00,ALL,2011-01-03,6,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21816,21",9
2011-01-03T14:00:00-00:00,2011-01-03T15:00:00-00:00,ALL,2011-01-03,7,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"23847,91",9
2011-01-03T15:00:00-00:00,2011-01-03T16:00:00-00:00,ALL,2011-01-03,8,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"25018,05",9
2011-01-03T16:00:00-00:00,2011-01-03T17:00:00-00:00,ALL,2011-01-03,9,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26021,85",9
2011-01-03T17:00:00-00:00,2011-01-03T18:00:00-00:00,ALL,2011-01-03,10,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26556,46",9
2011-01-03T18:00:00-00:00,2011-01-03T19:00:00-00:00,ALL,2011-01-03,11,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27065,9",9
2011-01-03T19:00:00-00:00,2011-01-03T20:00:00-00:00,ALL,2011-01-03,12,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26849,7",9
2011-01-03T20:00:00-00:00,2011-01-03T21:00:00-00:00,ALL,2011-01-03,13,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26513,29",9
2011-01-03T21:00:00-00:00,2011-01-03T22:00:00-00:00,ALL,2011-01-03,14,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26247,93",9
2011-01-03T22:00:00-00:00,2011-01-03T23:00:00-00:00,ALL,2011-01-03,15,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26055,53",9
2011-01-03T23:00:00-00:00,2011-01-04T00:00:00-00:00,ALL,2011-01-03,16,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26150,79",9
2011-01-04T00:00:00-00:00,2011-01-04T01:00:00-00:00,ALL,2011-01-03,17,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27285,8",9
2011-01-04T01:00:00-00:00,2011-01-04T02:00:00-00:00,ALL,2011-01-03,18,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"29762,84",9
2011-01-04T02:00:00-00:00,2011-01-04T03:00:00-00:00,ALL,2011-01-03,19,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"30221,89",9
2011-01-04T03:00:00-00:00,2011-01-04T04:00:00-00:00,ALL,2011-01-03,20,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"29651,74",9
2011-01-04T04:00:00-00:00,2011-01-04T05:00:00-00:00,ALL,2011-01-03,21,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"28803,65",9
2011-01-04T05:00:00-00:00,2011-01-04T06:00:00-00:00,ALL,2011-01-03,22,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27078,19",9
2011-01-04T06:00:00-00:00,2011-01-04T07:00:00-00:00,ALL,2011-01-03,23,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"24929,2",9
2011-01-04T07:00:00-00:00,2011-01-04T08:00:00-00:00,ALL,2011-01-03,24,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"23016,01",9
2011-01-04T08:00:00-00:00,2011-01-04T09:00:00-00:00,ALL,2011-01-04,1,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21456,48",13
2011-01-04T09:00:00-00:00,2011-01-04T10:00:00-00:00,ALL,2011-01-04,2,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20697,4",13
2011-01-04T10:00:00-00:00,2011-01-04T11:00:00-00:00,ALL,2011-01-04,3,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20161,17",13
2011-01-04T11:00:00-00:00,2011-01-04T12:00:00-00:00,ALL,2011-01-04,4,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20122,79",13
2011-01-04T12:00:00-00:00,2011-01-04T13:00:00-00:00,ALL,2011-01-04,5,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20858,63",13
2011-01-04T13:00:00-00:00,2011-01-04T14:00:00-00:00,ALL,2011-01-04,6,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22753,78",13
2011-01-04T14:00:00-00:00,2011-01-04T15:00:00-00:00,ALL,2011-01-04,7,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"25149,1",13
2011-01-04T15:00:00-00:00,2011-01-04T16:00:00-00:00,ALL,2011-01-04,8,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26441,97",13
2011-01-04T16:00:00-00:00,2011-01-04T17:00:00-00:00,ALL,2011-01-04,9,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26786,51",13
2011-01-04T17:00:00-00:00,2011-01-04T18:00:00-00:00,ALL,2011-01-04,10,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26970,24",13
2011-01-04T18:00:00-00:00,2011-01-04T19:00:00-00:00,ALL,2011-01-04,11,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27292,41",13
2011-01-04T19:00:00-00:00,2011-01-04T20:00:00-00:00,ALL,2011-01-04,12,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26935,61",13
2011-01-04T20:00:00-00:00,2011-01-04T21:00:00-00:00,ALL,2011-01-04,13,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26583,86",13
2011-01-04T21:00:00-00:00,2011-01-04T22:00:00-00:00,ALL,2011-01-04,14,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26299,58",13
2011-01-04T22:00:00-00:00,2011-01-04T23:00:00-00:00,ALL,2011-01-04,15,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26240,04",13
2011-01-04T23:00:00-00:00,2011-01-05T00:00:00-00:00,ALL,2011-01-04,16,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26478,96",13
2011-01-05T00:00:00-00:00,2011-01-05T01:00:00-00:00,ALL,2011-01-04,17,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27660,68",13
2011-01-05T01:00:00-00:00,2011-01-05T02:00:00-00:00,ALL,2011-01-04,18,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"30334,33",13
2011-01-05T02:00:00-00:00,2011-01-05T03:00:00-00:00,ALL,2011-01-04,19,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"30769,35",13
2011-01-05T03:00:00-00:00,2011-01-05T04:00:00-00:00,ALL,2011-01-04,20,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"30261,77",13
2011-01-05T04:00:00-00:00,2011-01-05T05:00:00-00:00,ALL,2011-01-04,21,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"29411,71",13
2011-01-05T05:00:00-00:00,2011-01-05T06:00:00-00:00,ALL,2011-01-04,22,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27501,79",13
2011-01-05T06:00:00-00:00,2011-01-05T07:00:00-00:00,ALL,2011-01-04,23,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"25349,36",13
2011-01-05T07:00:00-00:00,2011-01-05T08:00:00-00:00,ALL,2011-01-04,24,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"23314,38",13
2011-01-05T08:00:00-00:00,2011-01-05T09:00:00-00:00,ALL,2011-01-05,1,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21875,74",17
2011-01-05T09:00:00-00:00,2011-01-05T10:00:00-00:00,ALL,2011-01-05,2,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21069,26",17
2011-01-05T10:00:00-00:00,2011-01-05T11:00:00-00:00,ALL,2011-01-05,3,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,20648,17
2011-01-05T11:00:00-00:00,2011-01-05T12:00:00-00:00,ALL,2011-01-05,4,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20498,99",17
2011-01-05T12:00:00-00:00,2011-01-05T13:00:00-00:00,ALL,2011-01-05,5,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21261,83",17
2011-01-05T13:00:00-00:00,2011-01-05T14:00:00-00:00,ALL,2011-01-05,6,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22983,8",17
2011-01-05T14:00:00-00:00,2011-01-05T15:00:00-00:00,ALL,2011-01-05,7,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"25477,75",17
2011-01-05T15:00:00-00:00,2011-01-05T16:00:00-00:00,ALL,2011-01-05,8,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26390,98",17
2011-01-05T16:00:00-00:00,2011-01-05T17:00:00-00:00,ALL,2011-01-05,9,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26816,49",17
2011-01-05T17:00:00-00:00,2011-01-05T18:00:00-00:00,ALL,2011-01-05,10,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27229,51",17
2011-01-05T18:00:00-00:00,2011-01-05T19:00:00-00:00,ALL,2011-01-05,11,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27283,54",17
2011-01-05T19:00:00-00:00,2011-01-05T20:00:00-00:00,ALL,2011-01-05,12,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27060,78",17
2011-01-05T20:00:00-00:00,2011-01-05T21:00:00-00:00,ALL,2011-01-05,13,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,26653,17
2011-01-05T21:00:00-00:00,2011-01-05T22:00:00-00:00,ALL,2011-01-05,14,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26425,67",17
2011-01-05T22:00:00-00:00,2011-01-05T23:00:00-00:00,ALL,2011-01-05,15,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26222,23",17
2011-01-05T23:00:00-00:00,2011-01-06T00:00:00-00:00,ALL,2011-01-05,16,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26124,21",17
2011-01-06T00:00:00-00:00,2011-01-06T01:00:00-00:00,ALL,2011-01-05,17,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27328,07",17
2011-01-06T01:00:00-00:00,2011-01-06T02:00:00-00:00,ALL,2011-01-05,18,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"30107,33",17
2011-01-06T02:00:00-00:00,2011-01-06T03:00:00-00:00,ALL,2011-01-05,19,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,30517,17
2011-01-06T03:00:00-00:00,2011-01-06T04:00:00-00:00,ALL,2011-01-05,20,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"30041,59",17
2011-01-06T04:00:00-00:00,2011-01-06T05:00:00-00:00,ALL,2011-01-05,21,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"29063,02",17
2011-01-06T05:00:00-00:00,2011-01-06T06:00:00-00:00,ALL,2011-01-05,22,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27366,85",17
2011-01-06T06:00:00-00:00,2011-01-06T07:00:00-00:00,ALL,2011-01-05,23,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"24905,27",17
2011-01-06T07:00:00-00:00,2011-01-06T08:00:00-00:00,ALL,2011-01-05,24,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22874,92",17
2011-01-06T08:00:00-00:00,2011-01-06T09:00:00-00:00,ALL,2011-01-06,1,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21436,14",21
2011-01-06T09:00:00-00:00,2011-01-06T10:00:00-00:00,ALL,2011-01-06,2,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20773,42",21
2011-01-06T10:00:00-00:00,2011-01-06T11:00:00-00:00,ALL,2011-01-06,3,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20542,28",21
2011-01-06T11:00:00-00:00,2011-01-06T12:00:00-00:00,ALL,2011-01-06,4,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20341,1",21
2011-01-06T12:00:00-00:00,2011-01-06T13:00:00-00:00,ALL,2011-01-06,5,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21003,45",21
2011-01-06T13:00:00-00:00,2011-01-06T14:00:00-00:00,ALL,2011-01-06,6,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22777,71",21
2011-01-06T14:00:00-00:00,2011-01-06T15:00:00-00:00,ALL,2011-01-06,7,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"25097,79",21
2011-01-06T15:00:00-00:00,2011-01-06T16:00:00-00:00,ALL,2011-01-06,8,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26022,16",21
2011-01-06T16:00:00-00:00,2011-01-06T17:00:00-00:00,ALL,2011-01-06,9,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26442,82",21
2011-01-06T17:00:00-00:00,2011-01-06T18:00:00-00:00,ALL,2011-01-06,10,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26902,35",21
2011-01-06T18:00:00-00:00,2011-01-06T19:00:00-00:00,ALL,2011-01-06,11,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27183,5",21
2011-01-06T19:00:00-00:00,2011-01-06T20:00:00-00:00,ALL,2011-01-06,12,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26944,63",21
2011-01-06T20:00:00-00:00,2011-01-06T21:00:00-00:00,ALL,2011-01-06,13,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26633,38",21
2011-01-06T21:00:00-00:00,2011-01-06T22:00:00-00:00,ALL,2011-01-06,14,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26372,32",21
2011-01-06T22:00:00-00:00,2011-01-06T23:00:00-00:00,ALL,2011-01-06,15,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26122,32",21
2011-01-06T23:00:00-00:00,2011-01-07T00:00:00-00:00,ALL,2011-01-06,16,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"25998,03",21
2011-01-07T00:00:00-00:00,2011-01-07T01:00:00-00:00,ALL,2011-01-06,17,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"27077,25",21
2011-01-07T01:00:00-00:00,2011-01-07T02:00:00-00:00,ALL,2011-01-06,18,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"29740,67",21
2011-01-07T02:00:00-00:00,2011-01-07T03:00:00-00:00,ALL,2011-01-06,19,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"30133,72",21
2011-01-07T03:00:00-00:00,2011-01-07T04:00:00-00:00,ALL,2011-01-06,20,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"29581,56",21
2011-01-07T04:00:00-00:00,2011-01-07T05:00:00-00:00,ALL,2011-01-06,21,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"28686,91",21
2011-01-07T05:00:00-00:00,2011-01-07T06:00:00-00:00,ALL,2011-01-06,22,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26982,14",21
2011-01-07T06:00:00-00:00,2011-01-07T07:00:00-00:00,ALL,2011-01-06,23,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"24369,62",21
2011-01-07T07:00:00-00:00,2011-01-07T08:00:00-00:00,ALL,2011-01-06,24,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22577,45",21
2011-01-07T08:00:00-00:00,2011-01-07T09:00:00-00:00,ALL,2011-01-07,1,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"21578,04",25
2011-01-07T09:00:00-00:00,2011-01-07T10:00:00-00:00,ALL,2011-01-07,2,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20824,6",25
2011-01-07T10:00:00-00:00,2011-01-07T11:00:00-00:00,ALL,2011-01-07,3,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,20468,25
2011-01-07T11:00:00-00:00,2011-01-07T12:00:00-00:00,ALL,2011-01-07,4,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20260,68",25
2011-01-07T12:00:00-00:00,2011-01-07T13:00:00-00:00,ALL,2011-01-07,5,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"20895,89",25
2011-01-07T13:00:00-00:00,2011-01-07T14:00:00-00:00,ALL,2011-01-07,6,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"22846,4",25
2011-01-07T14:00:00-00:00,2011-01-07T15:00:00-00:00,ALL,2011-01-07,7,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"25287,5",25
2011-01-07T15:00:00-00:00,2011-01-07T16:00:00-00:00,ALL,2011-01-07,8,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,"26451,32",25
